Location,MPN/Seeed SKU,QTY
"R3,R9",301010456,2
"C1,C2,C4,C5,C8,C10,C11,C12,C14,C15,C18,C20,C21,C22,C23",302010024,15
C13,302010138,1
"R2,R4,R5",301010047,3
C3,302010140,1
L2,303010042,1
"C6,C9",302010003,2
D3,304020032,1
L1,303030020,1
"C7,C16",302010027,2
Y1,306010020,1
"R1,R8,R11",301010466,3
CT1,302030059,1
R10,301010198,1
U$3,A4953ELJTR-T,1
U$1,AS5047D-ATSM,1
U2,ATSAMD51J19A-AU,1
SW3,311020045,1
D7,304090043,1
"R6,R7",KRL1632E-M-R150-F-T5,2
F1,307010002,1
U1,310050026,1
U6,310030046,1
"D1,D6",304090044,2
USB2,320010005,1
